Number,Address,Bedrooms,Baths,SquareFeet,YearBuilt,YearSold,CostPerSqFt,SalePrice
91,103 14th Ave ,3,1.75,1326,1979,2005,101.81,135000
92,1600 8th Ave ,3,1.5,1420,1957,2005,95.07,135000
93,1808 10th Ave Place ,4,1.75,1423,1964,2005,96.28,137000
94,1810 Spencer Street ,4,1.5,1440,1969,2005,96.53,139000
95,712 12th Ave ,2,3,1548,1971,2005,90.37,139900
96,1234 Summer St ,4,1.5,1862,1918,2005,75.73,141000
97,1417 6th Ave ,3,1.5,2052,1907,2006,74.07,152000
98,1828 Prairie St ,4,2.5,1632,1974,2005,93.75,153000
99,819 9th Ave ,4,3.5,2438,1941,2005,63.17,154000
100,920 High St ,0,0,3247,1900,2005,47.74,155000
101,14647 N30th Ave E ,3,2.75,1664,1990,2005,93.75,156000
102,1803 Summer St ,4,1.75,1248,1974,2006,125,156000
103,821 16th Ave ,4,2,1728,1965,2006,90.86,157000
104,1912 Spring street ,3,1.75,1591,1993,2005,98.68,157000
105,1919 Spencer St ,4,3,1528,1976,2005,105.37,161000
106,1830 Country Club Dr ,3,1.75,1316,1968,2006,122.72,161500
107,1816 Prairie St ,4,2.5,2078,1973,2005,80.37,167000
108,1816 Reed St ,4,2.5,1352,1977,2006,124.26,168000
109,1823 Sunset St ,3,1.75,1622,1986,2005,104.81,170000
110,1611 Prairie St ,4,3,2400,1969,2005,71.67,172000
111,606 16th Ave ,3,2.75,1268,1982,2005,136.04,172500
112,1815 Manor Dr ,5,2.75,2267,1968,2005,77.19,175000
113,932 Elm St ,4,3.5,2621,1900,2006,66.96,175500
114,1721 Manor Drive ,4,2.5,3000,1961,2005,60,180000
115,734 16th Ave #12 ,4,2,1429,1990,2005,125.96,180000
116,1312 Michael Avenue ,2,2,1470,2000,2005,123.81,182000
117,1415 Main St ,4,1.5,2396,1890,2006,78.05,187000
118,1840 Reed St ,4,1.75,1504,1975,2006,126.26,189900
119,1676 Hwy. T38N #50 ,4,2.75,2021,2000,2005,97.97,198000
120,7 College Park Rd ,3,2.5,1768,1955,2005,113.12,200000
121,1410 Elm St ,6,3,3034,1910,2005,67.57,205000
122,1405 Broad St ,5,2.75,2838,1895,2005,72.94,207000
123,5 College Park Rd ,3,2,2500,1956,2005,90.8,227000
124,509 16th St ,4,3,1806,1990,2006,127.35,230000
125,1910 Spring St ,3,1.75,1564,1991,2005,147.06,230000
126,406 15th St ,5,3,1892,1977,2005,125,236500
127,1905 Sunset St ,3,2.5,2172,1991,2005,112.8,245000
128,1515 Broad St ,5,2.5,3025,1911,2006,99.17,300000
129,1929 Reed St ,4,3,2066,1998,2005,169.41,350000
130,2007 Reed St ,5,3,2144,2001,2005,163.25,350000
131,508 5th Ave ,2,1,772,1900,2006,19.43,15000
132,510 High St ,2,1,1016,1900,2006,23.62,24000
133,533 High St ,3,2,2098,1900,2006,11.68,24500
134,1532 Summer St ,0,0,0,1900,2006,0,25000
135,410 Park St ,2,1,924,1900,2006,29.76,27500
136,721 Pearl St ,3,1,1008,1900,2006,27.78,28000
137,823 Prince St ,2,1,939,1900,2006,39.4,37000
138,432 Broad St ,4,1.75,1626,1900,2006,29.52,48000
139,732 East St ,2,2,1680,1900,2006,30.36,51000
140,535 Broad St ,3,1,1328,1900,2007,39.91,53000
141,1222 6th Ave ,2,1,872,1942,2007,68.81,60000
142,721 Center Street ,4,0.75,1250,1900,2006,51.12,63900
143,1328 West St ,4,2,1333,1900,2006,49.51,66000
144,9033 A Clay Street ,2,1,792,1947,2006,85.86,68000
145,417 West St ,3,1,1068,1900,2006,64.51,68900
146,232 Main St ,2,1.5,856,1963,2006,84.7,72500
147,703 7th Ave. ,3,1.25,1065,1900,2006,68.54,73000
148,1110 Prairie ,4,2,1665,1900,2006,45.05,75000
149,1804 Belmont ,2,1.5,1222,1965,2007,62.19,76000
150,604 Washington Ave ,2,1.75,640,1959,2006,121.88,78000
151,15102 Newcomer Ave. ,3,1.5,1116,1924,2006,70.34,78500
152,403 Main St ,4,1.5,1982,1883,2006,40.36,80000
153,1411 6th Ave ,4,0.75,1352,1900,2006,59.17,80000
154,617 State St ,3,1,888,1973,2007,90.09,80000
155,1412 8th Ave ,2,1,884,1963,2006,91.52,80900
156,1120 Hamilton ,2,1,900,1924,2006,91.67,82500
157,609 High St ,4,2,1506,1880,2006,54.78,82500
158,1409 Hobart St ,3,1,942,1954,2006,89.7,84500
159,1328 Prairie St ,2,1.75,992,1953,2007,85.18,84500
160,524 Main St ,3,1,1460,1900,2007,58.22,85000
161,712 7th Ave ,2,1,1595,1948,2006,53.29,85000
162,1309 Spencer St ,3,1,1176,1910,2006,73.13,86000
163,1006 Fairfield St ,2,1,1024,1962,2006,84.47,86500
164,1019 Spring St ,3,2,0,1900,2006,0,87000
165,813 1st Ave ,5,2,2166,1900,2006,40.17,87000
166,517 Spring St ,3,1,1261,1900,2006,69.39,87500
167,824 Summer St ,3,1,1519,1900,2007,57.71,87669
168,1409 Prince St ,3,1,984,1960,2006,90.96,89500
169,409 5th Ave ,3,2,1678,1900,2007,53.93,90500
170,1121 Prince St ,2,1,1196,1912,2006,77.76,93000
171,1423 Prairie St ,3,1.5,984,1955,2006,97.05,95500
172,1010 Prairie St ,4,1.75,1680,1964,2006,58.04,97500
173,1408 West St ,2,1.75,1352,1949,2006,72.49,98000
174,1624 5th Ave. ,3,1,1440,1900,2007,68.06,98000
175,1839 4th Ave ,3,1.75,960,1963,2006,105.21,101000
176,1414 Prairie St ,3,1,1092,1959,2006,92.49,101000
177,1206 Spring St ,2,1.75,1040,1975,2007,99.76,103750
178,1303 Spencer St. ,4,1,2386,1900,2006,44.01,105000
179,1845 4th Ave ,3,1.5,1336,1959,2006,79.34,106000
180,1804 3rd Avenue ,4,1.5,1562,1972,2006,68.5,107000
181,1530 Spring St ,2,1.5,1371,1952,2006,80.23,110000
182,1520 Summer St ,3,1,942,1963,2006,118.68,111800
183,1605 Reed St ,3,2.75,1440,1967,2006,77.78,112000
184,711 420th Ave ,3,2,1458,1995,2006,77.16,112500
185,521 Harrison ,3,1,1040,1999,2006,108.65,113000
186,1816 Belmont Dr ,3,1.75,972,1966,2006,118.31,115000
187,1326 Spring St ,3,1.75,1120,1958,2007,102.68,115000
188,1833 Belmont ,4,1.75,1290,1959,2006,91.1,117525
189,803 6th Ave ,2,1.75,1246,1954,2007,96.31,120000
190,1412 Prairie Street ,3,1.5,1280,1953,2006,93.75,120000
191,1314 Prairie St ,3,2,1152,1951,2007,105.47,121500
192,1027 Summer ,4,1.75,1733,1930,2006,70.4,122000
193,1314 Reed St ,3,1.75,1484,1964,2006,82.21,122000
194,1420 Reed St ,3,2,1584,1954,2006,77.02,122000
195,25 Eagle Dr ,3,1.75,1134,1973,2006,107.58,122000
196,503 Harrison Ave ,3,2,1333,2002,2006,94.9,126500
197,1015 Elm St ,2,1.5,1258,1970,2006,100.95,127000
198,1830 4th Ave ,3,1.75,1040,1957,2006,123.08,128000
199,1221 Summer St ,3,2,1916,1900,2006,68.95,132100
200,824 High St ,4,1.75,2451,1900,2006,54.67,134000
201,1219 West St ,3,1.5,1895,1915,2007,71.24,135000
202,1412 Prairie St ,3,2,1280,1953,2006,105.47,135000
203,1311 Hobart St ,4,1.75,1600,1963,2006,84.69,135500
204,507 10th Ave ,4,2.5,1994,1900,2006,68.2,136000
205,1623 Reed St ,3,2.5,1232,1968,2006,112.58,138700
206,414 15th Ave ,3,2.5,1344,1978,2006,104.17,140000
207,1315 Summer St ,3,1,1256,1959,2006,113.46,142500
208,917 Center St ,4,1.75,2428,1900,2007,58.69,142500
209,1817 Reed St ,3,2.25,1167,1976,2006,123.82,144500
210,1723 Spencer ,4,1.75,1416,1962,2006,102.4,145000
211,1514 West St ,4,2,3108,1875,2006,46.65,145000
212,1309 Penrose ,3,1.75,1052,1971,2006,139.73,147000
213,407 11th Ave ,4,1.75,896,1965,2006,165.18,148000
214,1403 Patricia Ave ,2,1.75,1221,2006,2007,121.62,148500
215,93 13th Ave ,4,2.5,2018,1975,2007,73.84,149000
216,1401 Patricia Ave ,2,1.75,1221,2006,2006,123.63,150950
217,1900 10th St ,4,3,1560,1966,2006,99.36,155000
218,1810 Spencer St ,4,1.5,1440,1969,2006,108.33,156000
219,3694 Hwy 146 N ,2,1.5,3400,1967,2006,46.18,157000
220,1629 Reed St ,3,2.5,1288,1968,2007,124.15,159900
221,105 14th Avenue ,4,1.75,1130,1978,2006,141.59,160000
222,431 12th Ave ,3,1.75,1600,1966,2006,100,160000
223,1214 Broad St ,3,1.5,2344,1883,2006,69.33,162500
224,1904 Belmont Dr ,4,2.5,2026,1959,2006,82.92,168000
225,1138 Elm St ,3,1.75,2357,1900,2006,75.1,177000
226,12 Melrose Ln ,3,2,1341,2006,2006,132.74,178000
227,1628 10th ,4,1.5,1824,1963,2006,98.14,179000
228,2005 Manor Cir ,3,2,1450,1973,2006,124.07,179900
229,405 16th Ave ,4,3,1532,1987,2006,117.82,180500
230,734 16th Ave #8 ,3,3,2300,1988,2006,79.57,183000
231,2010 Country Club Dr ,3,1.75,1792,1962,2006,103.24,185000
232,1803 8th Ave ,4,1.75,1960,1900,2006,94.39,185000
233,629 Hwy 6 ,5,2.75,2372,1900,2006,77.99,185000
234,1321 Michael Ave ,3,2.5,2244,2000,2006,82.89,186000
235,1800 Manor Drive ,5,1.5,2384,1961,2006,85.99,205000
236,1120 Broad St ,8,6,4633,1900,2006,44.25,205000
237,1820 Manor Drive ,3,2.5,1416,1966,2006,151.84,215000
238,316 Brandon Street ,4,2.25,1604,2006,2006,141.52,227000
239,1408 Michael Ave ,4,2.75,1623,2001,2006,141.71,230000
240,409 15th Ave ,4,3,2100,1980,2006,115.24,242000
241,155 380th Ave ,4,3,1548,1999,2006,159.88,247500
242,1433 Main St ,5,3,2440,1900,2006,102.46,250000
243,2003 Spring St ,3,2.75,1910,1996,2006,140.31,268000
244,4345 20th St ,3,2,1786,2005,2006,158.17,282500
245,317 Bailey St ,3,2,1782,2006,2006,160.04,285200
246,1501 Michael Ave ,3,2,1849,2006,2006,176.31,326000
247,4234 20th St ,5,4.5,2947,1997,2006,120.46,355000
248,606 Van Horne Cir ,5,3.5,4779,1994,2006,77.74,371500
249,217 16th Ave ,5,3.5,3514,2003,2006,140.87,495000
250,711 Pearl St ,3,1,1224,1900,2008,7.6,9300
251,1418 3rd Ave. ,2,1,1022,1900,2007,10.67,10900
252,508 Spring Street ,3,1,1425,1910,2007,15.09,21500
253,603 High ,2,1,1066,1900,2007,20.64,22000
254,521 Spring St ,3,2,1195,1900,2007,23.43,28000
255,607 Spring St ,3,1,951,1900,2007,33.12,31500
256,1511 Davis Ave ,3,1,1109,1900,2007,33.36,37000
257,924 Pearl ,2,1,1565,1900,2007,23.64,37000
258,401 2nd Ave ,3,1,1267,1900,2007,30.78,39000
259,721 Spring St ,2,1,832,1900,2007,46.88,39000
260,415 Spring St ,2,1,984,1970,2007,50.81,50000
261,1120 Spring St ,2,1,768,1900,2007,69.66,53500
262,1627 7th Ave ,3,1,864,1956,2007,65.39,56500
263,711 8th Ave. ,3,0.75,1138,1900,2007,50,56900
264,422 High St ,3,1,960,1900,2007,62.97,60450
265,515 6th Ave ,3,2,1382,1900,2008,44.14,61000
266,609 8th Ave. ,3,1.75,1352,1900,2007,46.6,63000
267,1223 3rd Ave ,4,1.5,1494,1900,2007,43.84,65500
268,514 Park St ,3,1,966,1915,2007,68.32,66000
269,1022 Pearl ,3,1.75,1347,1900,2008,50.85,68500
270,411 1st Ave ,3,1,1266,1900,2007,54.98,69600
271,433 Marvin ,2,2,1322,1975,2007,55.22,73000
272,823 Prince St ,2,1,939,1920,2007,79.34,74500
273,521 2nd Ave ,3,1,1184,1900,2007,66.72,79000
274,1534 Spencer St ,4,1.5,1352,1900,2007,59.17,80000
275,1411 Elm St ,4,1,1380,1900,2007,58.23,80360
276,1217 1st Ave ,4,1.5,2220,1900,2007,36.21,80395
277,904 East St ,4,2,2746,1900,2007,29.32,80500
278,704 Elm Street ,3,1.5,972,1900,2007,85.39,83000
279,429 8th Ave ,3,1.75,816,1958,2007,103.55,84500
280,1421 Hobart ,2,1.5,1034,1900,2007,82.88,85700
281,1428 E Ann St ,2,1.75,1206,1946,2007,72.14,87000
282,328 8 th Ave ,3,1.75,1404,1900,2007,61.97,87000
283,1122 Ann Street ,3,2,1502,1900,2007,58.09,87250
284,1702 6th Ave ,5,5,4650,1900,2007,18.82,87500
285,515 Broad Street ,2,2,1423,1900,2007,61.84,88000
286,815 High St ,2,1,820,1940,2007,108.54,89000
287,440 12th Ave ,3,1,984,1965,2007,91.46,90000
288,1033 Spring Street ,4,1.75,1493,1900,2007,60.28,90000
289,516 West St ,3,1,995,1900,2008,90.95,90500
290,531 East St ,3,1.25,1008,1959,2007,90.77,91500
291,415 5th Ave ,2,1,1380,1900,2007,66.3,91500
292,1112 Ann St ,3,1.5,1388,1900,2007,67.72,94000
293,1717 9th Ave ,3,1,1336,1957,2008,71.11,95000
294,1417 5th Avenue ,3,1,960,1953,2007,98.96,95000
295,1422 Spencer St ,3,1.5,1790,1900,2008,54.75,98000
296,1025 Chatterton St ,4,1.75,2004,1900,2007,48.9,98000
297,615 High St ,2,1,1515,1900,2007,65.94,99900
298,1127 Main St ,2,1.5,1576,1952,2008,63.45,100000
299,101 6th Ave ,3,1,1136,1964,2007,88.73,100800
300,1612 7th Ave ,2,1,884,1900,2007,115.38,102000
301,1627 7th Ave ,3,1,864,1956,2007,121.53,105000
302,1703 Manor Dr ,3,1.5,1266,1958,2007,84.52,107000
303,1925 Country Club Dr ,3,1.75,1002,1966,2008,108.78,109000
304,1925 Country Club Dr ,3,1.75,1002,1966,2008,108.78,109000
305,5 Spring Cir ,3,2,1400,1974,2008,78.57,110000
306,1210 Hamilton Ave ,4,3,1440,1900,2007,76.39,110000
307,508 12th Ave ,3,1,1040,1966,2007,107.69,112000
308,1317 Spring St ,3,1.75,1541,1956,2008,73.33,113000
309,510 11th Ave ,3,1.75,1464,1961,2007,79.75,116750
310,523 Broad St ,3,2,2215,1900,2007,54.18,120000
311,533 High St ,3,2,2098,1900,2007,57.2,120000
312,1802 9th Ave ,3,1.5,1448,1954,2007,82.87,120000
313,1533 3rd Ave ,2,1,0,1980,2007,0,120000
314,1415 11th Ave ,3,1,1154,1956,2007,105.72,122000
315,1429 Summer St ,4,1.75,1512,1950,2007,82.34,124500
316,515 Marvin Ave ,3,2,1568,1993,2007,79.72,125000
317,524 High St ,4,1.5,2032,1898,2007,61.76,125500
318,501 Marvin Avenue ,3,1.75,866,1982,2008,145.5,126000
319,240 4th Ave ,3,2.5,1780,2005,2007,71.63,127500
320,930 13th Avenue ,2,1,1144,1957,2007,112.76,129000
321,1834 Spencer St ,3,1.75,1104,1969,2007,117.75,130000
322,3146 40th St ,3,1.75,1682,1978,2007,78.48,132000
323,120 6th Ave ,3,1.75,1410,1960,2008,94.33,133000
324,1604 Reed St ,3,1.5,1328,1967,2007,103.16,137000
325,1622 Spencer St. ,3,1.5,1314,1961,2007,104.26,137000
326,417 13th Ave ,3,1.25,1092,1964,2007,126.37,138000
327,321 4th Ave ,5,2.5,2050,1900,2007,68.29,140000
328,1808 8th Avenue ,3,2.5,1826,1964,2008,76.67,140000
329,1210 West St ,3,2.5,1816,1900,2007,78.19,142000
330,1433 Park St ,5,1.75,2336,1902,2008,61,142500
331,610 14th Avenue ,2,1.75,1144,1977,2007,126.75,145000
332,8 Oakland Dr ,3,1.75,1344,1964,2007,111.24,149500
333,1702 Country Club Dr ,3,2.5,1516,1950,2007,100.26,152000
334,1704 Spencer St ,4,2.75,2000,1964,2008,79,158000
335,329 Main St ,3,1.75,1232,1988,2007,131.09,161500
336,1919 Spencer St ,4,2,1528,1976,2007,106.02,162000
337,1529 Penrose ,3,1.75,1104,1976,2008,149.91,165500
338,93 13th Ave ,4,2.5,1152,1975,2007,144.1,166000
339,7 Melrose Ln ,3,2,1480,2007,2007,117.57,174000
340,73 Fore Seasons Dr ,4,2,1230,1987,2007,142.28,175000
341,1525 7th Ave ,4,2,1804,1900,2007,99.78,180000
342,605 16th Ave ,3,2.5,1468,1981,2007,123.98,182000
343,1226 Summer St ,3,1.5,1820,1900,2007,100.55,183000
344,99 14th Ave ,4,2.75,2205,1979,2007,85.71,189000
345,1915 Manor Cir ,4,1.5,2645,1968,2007,73.72,195000
346,1764 Hwy. T-38 N #80 ,3,2.5,1739,2001,2008,115.01,200000
347,808 High St ,3,1.5,2300,1905,2007,89.13,205000
348,308 Brandon St ,5,2.75,1382,2006,2008,152.68,211000
349,1509 Broad St ,5,1.5,2286,1900,2007,97.99,224000
350,1818 Prince St ,4,2.75,1602,1989,2007,140.45,225000
351,1703 Park St ,3,1.5,2004,1918,2007,121.13,242750
352,1905 Sunset ,3,2.5,2172,1991,2008,115.1,250000
353,316 Bailey St ,5,2.5,1600,2006,2007,156.88,251000
354,1922 Prairie St ,5,3.5,3386,1996,2007,76.76,259900
355,1409 Patricia Dr ,3,2,1630,2007,2008,159.51,260000
356,1950 Manor Cir ,4,3.5,3850,1963,2007,68.83,265000
357,827-829 East St ,4,2,2425,1890,2007,112.78,273500
358,317 Brandon Street ,3,2,1598,2006,2007,172.03,274900
359,1940 Reed St ,4,4,1932,2006,2007,158.9,307000
360,2013 Reed St ,4,3,2304,2001,2007,156.25,360000
361,1923 Reed St ,4,3,2330,1999,2007,163.09,380000
362,1928 Reed St ,6,4.5,4225,2004,2007,94.67,400000
363,217 16th Ave ,5,3.5,3514,2003,2007,145.13,510000
364,1117 Hamilton Ave ,3,1,1087,1900,2009,19.32,21000
365,9085 Newton St. ,3,1,1512,1900,2008,17.2,26000
366,1032 Pearl ,2,1,1036,1900,2008,27.51,28500
367,619 Reed St ,2,1,776,1900,2008,38.66,30000
368,411 West Street ,3,1,1321,1900,2008,25.74,34000
369,1510 Spencer St ,1,1,640,1900,2008,70.31,45000
370,300 Park St ,6,1,1374,1900,2008,36.39,50000
371,1231 Spring St ,2,1,992,1900,2008,51.41,51000
372,1515 Reed St ,2,1,784,1954,2008,68.24,53500
373,605 Reed St ,3,0.75,1052,1900,2008,51.33,54000
374,612 State St ,2,1,832,1900,2008,69.11,57500
375,508 5th Ave ,2,1,772,1900,2008,79.02,61000
376,1504 Spencer ,3,1.75,1168,1950,2008,53.94,63000
377,508 Spring Street ,3,1,1425,1910,2008,48.42,69000
378,1411 3rd St ,4,1,1568,1900,2008,44.64,70000
379,1425 Reed St ,3,2,1696,1900,2008,41.86,71000
380,913 Center ,2,1,884,1955,2008,81.45,72000
381,526 East St ,2,1,900,1964,2009,80,72000
382,922 Summer St ,4,1,1372,1900,2008,54.66,75000
383,510 Hamilton ,4,1,1320,1900,2008,58.33,77000
384,1321 West St ,2,2,1224,1900,2008,63.32,77500
385,1527 Summer Street ,1,1,1187,1952,2008,65.71,78000
386,320 11th Ave ,2,1,1372,1957,2008,61.22,84000
387,524 Main St ,3,1,1460,1900,2008,58.22,85000
388,1003 Prairie St ,2,2,1240,1900,2008,68.55,85000
389,521 Spring St ,3,2,1195,1900,2008,72.8,87000
390,909 East St ,3,1.75,1912,1900,2008,45.5,87000
391,1523 Priairie St ,2,1.75,1054,1954,2008,83.49,88000
392,1706 4th Ave ,2,1.5,1000,1900,2008,88.5,88500
393,1831 4th Ave ,4,1.75,1040,1967,2009,86.54,90000
394,406 State St ,3,1.5,1200,1973,2008,75,90000
395,1419 Spencer St ,3,1.75,1200,1914,2009,75.83,91000
396,1816 Belmont Drive ,3,1.75,972,1966,2008,97.02,94300
397,1601 4th Avenue ,3,1.5,1519,1890,2008,62.87,95500
398,303 East St ,3,1.5,1200,1959,2008,84.17,101000
399,1533 Reed ,3,1,1344,1900,2008,81.85,110000
400,722 Penrose ,3,1.25,1396,1975,2008,79.51,111000
401,1710 4th Ave. ,2,1,968,1952,2008,114.67,111000
402,1627 10th Ave ,3,1.5,1060,1959,2008,105.66,112000
403,1402 Prince St ,3,1.75,1198,1958,2008,98.5,118000
404,1534 Prairie Street ,3,1.5,1252,1956,2008,94.65,118500
405,1525 Prairie St ,4,2,1503,1956,2008,79.17,119000
406,1806 West St ,3,1.75,1144,1978,2008,104.9,120000
407,1315 Penrose ,3,1.5,1273,1971,2008,95.44,121500
408,1703 4th Ave. ,4,2,2518,1900,2008,48.45,122000
409,236 4th Ave W ,3,2.5,1780,2005,2008,70.22,125000
410,1410 Spring St ,3,1.75,1236,1955,2008,101.13,125000
411,1602 Summer ,2,1,1122,1904,2008,111.41,125000
412,1610 4th Ave ,3,1.75,2143,1966,2008,58.8,126000
413,1335 Reed St ,2,1.75,960,1958,2008,131.77,126500
414,1521 8th Ave ,4,1.75,2236,1947,2008,56.8,127000
415,1827 Prairie Street ,3,1.75,986,1974,2008,131.85,130000
416,1827 Prairie Street ,3,1.75,986,1974,2008,131.85,130000
417,1407 Elm St ,3,1,1448,1900,2008,89.78,130000
418,1724 10th Avenue Place,3,2.5,1380,1961,2008,94.2,130000
419,515 10th Ave ,3,1.75,1457,1900,2008,92.45,134700
420,909 Elm St ,4,1.5,1949,1913,2008,69.27,135000
421,512 11th ave ,3,1,1279,1956,2008,109.46,140000
422,1515 Spring St ,3,1.75,1470,1956,2008,100.34,147500
423,1808 10th Avenue Place,3,1.75,1423,1964,2008,105.06,149500
424,13310 Highway 6 E ,3,2.5,1120,1971,2008,138.39,155000
425,530 10th Ave ,4,1.5,1736,1941,2008,89.29,155000
426,928 High St ,5,1.75,2198,1900,2008,70.52,155000
427,1401 Patricia Ave ,2,1.75,1218,2006,2008,131.36,160000
428,821 16th Ave ,4,2,1728,1965,2008,92.59,160000
429,1617 West St ,3,1.75,1276,1966,2008,125.39,160000
430,1806 Summer St ,4,3,1680,1996,2009,96.43,162000
431,1816 Prince ,5,2.5,1560,1971,2009,104.17,162500
432,1527 Penrose ,3,1.75,1156,1979,2008,141.44,163500
